"","Locus","chromosome","position","fst"
"708",6835,"LG16",27854868,0.0293
"709",6837,"LG18",15711767,0.0048
"710",6846,"LG23",10359919,0.0427
"711",6878,"LG15",20381790,0.2373
"712",6886,"LG18",10393365,0.1023
"713",6887,"LG02",11466154,0.0047
"714",6899,"LG19",11783148,0.0881
"715",6905,"LG02",12664662,0.0025
"716",6910,"LG08",14381535,0.0261
"717",6913,"LG22",19647984,0.0562
"718",6925,"LG16",10109560,0.1241
"719",6926,"LG15",8356855,0.4305
"720",6931,"LG13",1712116,0.0126
"721",6944,"LG05",18764110,0.4747
"722",6947,"LG20",16306049,0.0487
"723",6960,"LG19",20652306,6e-04
"724",6962,"LG19",17900522,0.7291
"725",6969,"LG15",12665066,0.0961
"726",6971,"LG03",2817594,0.3827
"727",6983,"LG22",10201369,0.2517
"728",6988,"LG21",6125777,0.393
"729",6995,"LG04",11127341,0.0135
"730",6996,"LG15",25019581,0.0125
"731",7002,"LG19",17418336,0.0394
"732",7004,"LG16",9080156,0.2022
"733",7007,"LG09",23336651,2e-04
"734",7009,"LG21",3588670,0.0132
"735",7013,"LG09",20831066,9e-04
"736",7014,"LG16",6829220,0.0543
"737",7028,"LG11",20055468,0.1118
"738",7046,"LG08",6188289,0.8133
"739",7055,"LG03",7555515,0.0993
"740",7058,"LG08",559820,0.3789
"741",7060,"LG11",20342445,0.0059
"742",7074,"LG04",1318831,0.0389
"743",7083,"LG15",19440584,0.2727
"744",7086,"LG12",20716376,0.244
"745",7104,"LG09",11767651,0.0097
"746",7109,"LG09",5317086,0.2492
"747",7127,"LG20",22112286,0.4853
"748",7128,"LG09",1204897,0.1179
"749",7132,"LG02",8637797,0.2009
"750",7134,"LG16",9928551,0.0269
"751",7138,"LG15",12403451,0.0248
"752",7139,"LG04",26379247,0.05
"753",7146,"LG16",14444768,0.0118
"754",7161,"LG11",16069381,0.0472
"755",7164,"LG03",20693275,0.0276
"756",7171,"LG07",16286288,0.0496
"757",7193,"LG15",22684695,0.0561
"758",7203,"LG14",11703918,0.0269
"759",7214,"LG10",7431430,0.9187
"760",7222,"LG06",11943557,0.0121
"761",7223,"LG15",22520795,0.1495
"762",7227,"LG16",2099638,0.1069
"763",7228,"LG06",16749559,0.0221
"764",7268,"LG11",16731790,0.0445
"765",7275,"LG01",22595118,0.0682
"766",7283,"LG23",18658490,0.0634
"767",7298,"LG13",1297768,0.0349
"768",7327,"LG03",7200162,0.1381
"769",7332,"LG02",14302912,0.0184
"770",7335,"LG19",13457677,0.0916
"771",7357,"LG09",3905299,0.017
"772",7370,"LG15",4576668,0.1793
"773",7384,"LG10",1352427,0.0328
"774",7391,"LG06",22765329,0.1137
"775",7395,"LG07",30555580,-9e-04
"776",7399,"LG04",4348381,0.1693
"777",7419,"LG23",5629536,0.146
"778",7421,"LG19",3097487,0.0275
"779",7431,"LG12",3326685,0.2255
"780",7452,"LG06",22290578,0.8297
"781",7453,"LG10",13650399,0.007
"782",7457,"LG11",22023654,0.2428
"783",7469,"LG11",23808602,0.0272
"784",7485,"LG03",10832030,0.4589
"785",7489,"LG13",16655985,0.0459
"786",7490,"LG16",25266093,0.0737
"787",7494,"LG05",13987237,0.0073
"788",7498,"LG14",17772081,0.0705
"789",7505,"LG10",17051602,0.0261
"790",7521,"LG08",388630,0.0092
"791",7524,"LG11",5099569,0.0217
"792",7526,"LG15",16449383,0.1569
"793",7532,"LG05",17898748,0.0081
"794",7545,"LG01",9399694,0.8412
"795",7565,"LG12",19921439,0.0879
"796",7570,"LG13",18649897,0.0712
"797",7573,"LG01",13566886,0.1924
"798",7574,"LG12",6911449,0.0602
"799",7593,"LG12",7881258,0.2053
"800",7598,"LG04",26623344,0.0576
"801",7605,"LG13",3180911,0.1385
"802",7641,"LG21",14345110,0.016
"803",7643,"LG04",27733899,0.2852
"804",7655,"LG20",19740349,0.0086
"805",7656,"LG17",7872499,0.6558
"806",7671,"LG01",15937558,0.1902
"807",7674,"LG12",19252364,0.1201
"808",7690,"LG14",11180651,0.9899
"809",7698,"LG14",27129721,0.0984
"810",7713,"LG06",6229137,0.0486
"811",7715,"LG03",14049056,0.0793
"812",7726,"LG06",14765352,0.0423
"813",7730,"LG15",12292251,0.0121
"814",7739,"LG05",6441228,0.0548
"815",7742,"LG10",22750488,0.1946
"816",7747,"LG13",8626858,0.0994
"817",7749,"LG11",25187021,0.1869
"818",7754,"LG23",22966482,0.4771
"819",7755,"LG11",25803771,0.2126
"820",7763,"LG07",7478136,0.0265
"821",7791,"LG10",7813573,0.0088
"822",7793,"LG01",14654622,0.0699
"823",7803,"LG13",19032494,0.007
"824",7833,"LG13",8128067,0.0498
"825",7865,"LG08",11365031,0.0095
"826",7869,"LG17",10688746,-0.0016
"827",7874,"LG20",20332243,0.0111
"828",7875,"LG07",11452690,0.3758
"829",7880,"LG09",21400794,0.0425
"830",7890,"LG14",13284482,0.0366
"831",7902,"LG09",7623356,0.3795
"832",7910,"LG14",6573265,0.0291
"833",7915,"LG06",1682281,0.2091
"834",7916,"LG09",13322211,0.4306
"835",7922,"LG05",20956146,0.0355
"836",7942,"LG11",11237956,0.0122
"837",7945,"LG22",16800409,0.0828
"838",7962,"LG04",22010636,-0.0017
"839",7965,"LG04",10785649,1
"840",7969,"LG13",7922976,0.0105
"841",7974,"LG08",16567202,0.5494
"842",7975,"LG03",8603130,0.4901
"843",8002,"LG08",7093665,0.034
"844",8008,"LG03",16558526,0.0723
"845",8013,"LG14",26001868,0.0711
"846",8016,"LG06",11515636,0.0563
"847",8018,"LG04",18659305,0.0042
"848",8027,"LG05",11481749,0.0674
"849",8033,"LG10",10895467,0.9802
"850",8037,"LG12",5532228,0.0312
"851",8045,"LG02",18447659,0.512
"852",8055,"LG12",3340389,0.1921
"853",8056,"LG22",15240992,-5e-04
"854",8058,"LG05",21116866,0.0628
"855",8062,"LG12",3185817,0.0784
"856",8079,"LG05",5792527,0.0446
"857",8098,"LG05",7346643,0.0434
"858",8100,"LG07",11428517,0.0257
"859",8103,"LG08",667242,0.3418
"860",8119,"LG05",15521040,0.0051
"861",8124,"LG09",23766555,0.8741
"862",8147,"LG12",25485725,0.1198
"863",8150,"LG19",9468457,0.0016
"864",8182,"LG06",20025483,0.1321
"865",8198,"LG13",16144580,0.2585
"866",8206,"LG16",26782565,0.2143
"867",8209,"LG16",8038342,0.1976
"868",8212,"LG13",9273834,0.0225
"869",8242,"LG01",7621451,0.0031
"870",8260,"LG16",27304295,0.0333
"871",8277,"LG02",5947585,0.8664
"872",8278,"LG12",6752117,-0.0015
"873",8289,"LG22",20459822,0.2504
"874",8295,"LG13",24899963,0.3433
"875",8353,"LG09",10677285,0.0214
"876",8375,"LG03",11594755,0.1615
"877",8427,"LG15",19711784,0.0273
"878",8440,"LG20",15925375,0.0104
"879",8457,"LG08",12642938,0.3153
"880",8465,"LG06",22765417,0.0369
"881",8471,"LG21",4831712,0.0415
"882",8484,"LG22",19029332,0.0876
"883",8499,"LG04",23394825,0.8083
"884",8506,"LG20",6963656,0.0313
"885",8514,"LG21",5112341,0.0526
"886",8536,"LG11",11875912,0.3416
"887",8554,"LG23",4965463,0.0338
"888",8568,"LG01",14990824,0.0485
"889",8574,"LG06",16214891,0.1345
"890",8596,"LG13",3111762,0.3428
"891",8597,"LG10",16803083,0.2963
"892",8601,"LG15",10911179,0.5867
"893",8606,"LG18",18859511,0.0474
"894",8641,"LG11",17280494,0.0657
"895",8642,"LG20",22696666,0.0064
"896",8666,"LG03",10413018,-0.001
"897",8669,"LG13",10893231,0.0065
"898",8671,"LG16",14413278,0.2644
"899",8679,"LG20",8303041,0.022
"900",8719,"LG07",10263395,0.0521
"901",8726,"LG14",17015235,0.0703
"902",8727,"LG15",1282872,0.0101
"903",8747,"LG19",10319156,0.1093
"904",8759,"LG15",24908542,0.0438
"905",8769,"LG17",9185034,0.0468
"906",8778,"LG02",19375815,0.5799
"907",8789,"LG01",11152405,0.041
"908",8797,"LG08",26389490,0.0257
"909",8798,"LG10",24193411,0.0216
"910",8803,"LG08",8178775,0.0644
"911",8810,"LG12",7061780,0.0495
"912",8811,"LG11",17486981,0.0103
"913",8819,"LG09",10907105,0.0021
"914",8820,"LG05",23467616,0.8197
"915",8827,"LG17",4130127,0.0643
"916",8831,"LG21",12302764,0.278
"917",8840,"LG21",7607298,0.5482
"918",8847,"LG14",1030467,0.2027
"919",8867,"LG21",20949290,0.0094
"920",8872,"LG06",12940079,0.0202
"921",8882,"LG12",21274945,0.2628
"922",8885,"LG14",23077035,0.211
"923",8890,"LG07",6489881,0.0177
"924",8898,"LG07",9012236,0.2461
"925",8910,"LG04",27733987,0.0037
"926",8919,"LG20",15956877,0.0087
"927",8936,"LG23",7449359,0.7493
"928",8993,"LG08",5321989,0.3388
"929",9000,"LG01",20164805,0.0563
"930",9012,"LG12",2510601,0.0122
"931",9037,"LG02",22603309,0.0106
"932",9041,"LG07",12528497,0.2123
"933",9043,"LG03",19476998,0.0553
"934",9061,"LG12",8785295,0.1913
"935",9066,"LG09",11242786,0.0476
"936",9077,"LG09",5295753,0.0446
"937",9079,"LG21",5024714,0.6456
"938",9085,"LG20",18816719,0.0994
"939",9091,"LG12",25336179,0.1394
"940",9102,"LG14",7840939,0.2166
"941",9105,"LG08",15659098,0.2543
"942",9131,"LG20",2330881,0.0378
"943",9135,"LG06",12182054,0.0634
"944",9140,"LG19",5351389,0.0162
"945",9144,"LG16",19012335,0.0026
"946",9158,"LG11",6826719,0.8776
"947",9164,"LG07",16991607,0.0373
"948",9168,"LG19",9468369,0.096
"949",9174,"LG05",21240325,0.1201
"950",9187,"LG15",12299422,0.0843
"951",9190,"LG17",6640394,0.5062
"952",9191,"LG11",18886155,0.044
"953",9203,"LG11",12511703,0.0416
"954",9205,"LG11",11238044,0.4359
"955",9210,"LG18",5958819,0.0126
"956",9211,"LG22",11875758,0.8025
"957",9218,"LG20",23516462,0.0629
"958",9228,"LG15",14543912,0.0338
"959",9231,"LG13",16521924,0.009
"960",9251,"LG11",26642181,0.7748
"961",9260,"LG18",18899213,0.5176
"962",9275,"LG22",20046047,0.0294
"963",9280,"LG05",12095423,0.0567
"964",9284,"LG08",17713996,0.1185
"965",9305,"LG01",16799615,0.3607
"966",9308,"LG04",32661853,0.2013
"967",9323,"LG21",22259790,0.1907
"968",9331,"LG19",4094309,0.0732
"969",9362,"LG07",3546992,0.0233
"970",9364,"LG08",26716462,0.0399
"971",9415,"LG23",3879604,0.4947
"972",9421,"LG01",24972595,0.2085
"973",9452,"LG10",19417830,0.4301
"974",9454,"LG01",20940596,0.0226
"975",9455,"LG17",15511310,0.0179
"976",9456,"LG01",12895039,0.9113
"977",9458,"LG11",16016506,0.0738
"978",9500,"LG05",10954817,0.0989
"979",9514,"LG18",10685719,0.8827
"980",9539,"LG15",25684151,0.0172
"981",9549,"LG10",17848565,0.1648
"982",9559,"LG01",16809414,0.116
"983",9576,"LG09",10727534,0.192
"984",9580,"LG23",15099859,0.0459
"985",9582,"LG06",16749471,0.0434
"986",9585,"LG11",11440099,0.7
"987",9590,"LG17",14394793,7e-04
"988",9596,"LG01",11383360,0.0333
"989",9611,"LG09",16641125,0.0049
"990",9625,"LG01",23464462,0.0208
"991",9631,"LG22",7464301,0.02
"992",9632,"LG02",6571036,0.0217
"993",9634,"LG16",13079095,0.0262
"994",9663,"LG13",3663429,0.0074
"995",9664,"LG07",2897347,0.0297
"996",9665,"LG04",26146674,0.1194
"997",9668,"LG09",15119144,0.1553
"998",9675,"LG14",20158765,0.0042
"999",9679,"LG08",11452987,0.1178
"1000",9682,"LG16",21936621,0.7784
"1001",9704,"LG03",24677592,0.1322
"1002",9714,"LG04",15238228,0.9287
"1003",9717,"LG14",5541915,0.0028
"1004",9733,"LG19",14349424,0.0854
"1005",9738,"LG13",8668477,0.0184
"1006",9740,"LG16",13248239,0.0485
"1007",9741,"LG02",5980256,0.0669
"1008",9755,"LG10",13377165,0.0034
"1009",9765,"LG06",9501710,0.214
"1010",9770,"LG14",1996083,0.0642
"1011",9776,"LG04",1846805,0.0194
"1012",9782,"LG13",18981816,0.0025
"1013",9800,"LG07",21196530,0.0238
"1014",9808,"LG15",15915117,0.2064
"1015",9811,"LG11",11843840,0.0561
"1016",9812,"LG18",1096221,0.0149
"1017",9822,"LG20",6455582,0.0238
"1018",9833,"LG17",10130791,0.1343
"1019",9840,"LG04",3791168,0.5342
"1020",9845,"LG13",18630044,0.0585
"1021",9850,"LG04",4223942,0.1025
"1022",9855,"LG20",8445572,0.0489
"1023",9864,"LG03",22541811,0.1324
"1024",9865,"LG21",10935303,0.0412
"1025",9869,"LG02",21189459,0.0107
"1026",9870,"LG01",25537657,0.0948
"1027",9886,"LG23",2904649,0.045
"1028",9888,"LG08",19299110,0.0261
"1029",9922,"LG17",1142573,0.0571
"1030",9926,"LG01",23296870,0.0343
"1031",9961,"LG08",6315453,0.1284
"1032",9964,"LG21",10996710,0.0163
"1033",9965,"LG01",22419167,0.0689
"1034",9967,"LG06",5507919,0.1354
"1035",9970,"LG20",21800201,8e-04
"1036",9971,"LG01",20704098,0.2021
"1037",9979,"LG12",20945653,-2e-04
"1038",9983,"LG03",9887414,0.044
"1039",9986,"LG10",9602660,0.3123
"1040",9993,"LG22",7888634,0.0434
"1041",9996,"LG01",26278925,0.456
"1042",10001,"LG18",14361526,0.6427
"1043",10012,"LG02",8567215,0.0848
"1044",10024,"LG05",2172020,0.2004
"1045",10028,"LG04",27899953,0.0387
"1046",10029,"LG13",1297680,0.4207
"1047",10038,"LG08",7161481,0.0198
"1048",10055,"LG13",10448774,0.8106
"1049",10061,"LG08",15659186,0.1564
"1050",10063,"LG03",6310553,0.4381
"1051",10092,"LG14",16098827,0.0288
"1052",10117,"LG06",4090233,0.011
"1053",10135,"LG08",4579627,0.1232
"1054",10136,"LG04",19736434,0.4195
"1055",10151,"LG18",11939298,0.1161
"1056",10153,"LG05",17965979,0.0831
"1057",10165,"LG10",9113932,0.0101
"1058",10172,"LG09",3075444,0.3494
"1059",10178,"LG06",11324595,0.01
"1060",10191,"LG02",5034803,0.0361
"1061",10198,"LG09",13840201,0.3277
"1062",10199,"LG19",20452984,0.1614
"1063",10207,"LG12",19645674,0.0384
"1064",10210,"LG07",8879525,0.0012
"1065",10214,"LG18",19330293,0.0086
"1066",10215,"LG07",11803415,0.0971
"1067",10217,"LG12",22048248,0.0635
"1068",10226,"LG21",6811994,0.3003
"1069",10232,"LG16",26051334,0.024
"1070",10236,"LG23",16472284,0.0365
"1071",10245,"LG14",12893504,0.0119
"1072",10257,"LG20",5865254,0.5745
"1073",10261,"LG14",11519911,0.0168
"1074",10263,"LG12",5229610,0.0911
"1075",10285,"LG07",14894969,-0.0015
"1076",10319,"LG23",12543949,0.0198
"1077",10336,"LG09",17620926,0.0195
"1078",10354,"LG08",2240599,0.0064
"1079",10392,"LG08",22476566,0.08
"1080",10401,"LG08",23374487,0.047
"1081",10410,"LG14",6016044,0.0193
"1082",10413,"LG03",19637006,0.1037
"1083",10414,"LG16",17455883,0.0804
"1084",10421,"LG08",9228751,0.4524
"1085",10425,"LG16",24274630,0.0054
"1086",10429,"LG05",2555026,0.097
"1087",10431,"LG08",10365018,0.0211
"1088",10440,"LG18",9448091,0.938
"1089",10462,"LG14",11822248,0.3125
"1090",10466,"LG01",25246286,0.0197
"1091",10480,"LG16",30812733,0.4694
"1092",10488,"LG05",5151374,0.0245
"1093",10495,"LG04",30851725,0.036
"1094",10497,"LG12",3555248,0.074
"1095",10523,"LG14",27045748,0.1456
"1096",10524,"LG01",15222575,0.048
"1097",10527,"LG13",6589303,0.0076
"1098",10530,"LG20",5796135,0.0573
"1099",10538,"LG23",7622332,0.0885
"1100",10539,"LG15",4351655,0.0147
"1101",10552,"LG21",7506255,0.2437
"1102",10560,"LG17",11340830,0.0296
"1103",10568,"LG20",21700706,0.0412
"1104",10581,"LG18",8738909,0.4205
"1105",10584,"LG06",24235014,0.1275
"1106",10585,"LG04",22250919,0.0753
"1107",10589,"LG07",24601198,0.0187
"1108",10595,"LG18",19191660,0.08
"1109",10618,"LG13",14844340,0.2926
"1110",10620,"LG19",1053140,0.6744
"1111",10632,"LG08",24314213,0.0656
"1112",10667,"LG23",10179282,0.0253
"1113",10675,"LG23",19071795,0.028
"1114",10680,"LG01",16535358,0.0253
"1115",10689,"LG23",16518732,0.0933
"1116",10706,"LG04",9581815,0.3288
"1117",10712,"LG10",13525125,0.0167
"1118",10732,"LG20",10708777,-0.0016
"1119",10742,"LG15",16381554,0.0828
"1120",10753,"LG20",8899266,0.2199
"1121",10760,"LG18",19613888,0.0653
"1122",10813,"LG12",1339414,0.1524
"1123",10820,"LG23",22823800,0.0433
"1124",10823,"LG06",3377386,0.0331
"1125",10828,"LG11",16821051,0.7969
"1126",10833,"LG13",6992964,0.0659
"1127",10836,"LG20",17324031,0.0569
"1128",10838,"LG05",17222349,0.0533
"1129",10839,"LG15",20569522,0.1189
"1130",10857,"LG04",19775761,0.1477
"1131",10872,"LG13",2826437,-2e-04
"1132",10882,"LG05",11668653,0.0282
"1133",10921,"LG18",12320425,0.0449
"1134",10945,"LG06",13049243,-0.0015
"1135",10953,"LG21",14345198,0.0569
"1136",10954,"LG14",13316350,0.1311
"1137",10955,"LG06",3757008,0.0582
"1138",10960,"LG13",24575456,0.2133
"1139",10974,"LG14",24427881,0.2837
"1140",10978,"LG11",3709479,0.0178
"1141",11001,"LG03",14489701,0.1437
"1142",11039,"LG12",23498325,0.0011
"1143",11053,"LG16",6506277,0.0125
"1144",11072,"LG18",1753151,0.0549
"1145",11088,"LG09",13625473,0.0334
"1146",11113,"LG18",8305419,0.0517
"1147",11115,"LG01",9595976,0.1006
"1148",11116,"LG13",23508205,0.0541
"1149",11119,"LG13",16168416,0.0066
"1150",11132,"LG08",8582009,0.1717
"1151",11146,"LG20",10708865,0.6067
"1152",11147,"LG22",1861078,0.0204
"1153",11149,"LG07",14869558,0.044
"1154",11154,"LG13",20413713,0.2695
"1155",11158,"LG02",16095487,0.1651
"1156",11162,"LG03",25703336,0.153
"1157",11176,"LG07",27362617,0.0403
"1158",11191,"LG05",20436363,0.2634
"1159",11234,"LG16",11625756,0.2985
"1160",11240,"LG04",19204065,0.0177
"1161",11262,"LG20",3439675,0.0101
"1162",11273,"LG02",17972205,0.6115
"1163",11294,"LG13",11882479,0.0184
"1164",11304,"LG02",4112741,0.1981
"1165",11313,"LG14",11519823,0.3143
"1166",11325,"LG13",7918800,0.2883
"1167",11336,"LG23",17114644,0.3393
"1168",11337,"LG17",15326186,0.0402
"1169",11346,"LG15",17655023,0.0524
"1170",11351,"LG21",9828239,0.2262
"1171",11371,"LG04",397181,0.3764
"1172",11377,"LG03",22091321,0.0331
"1173",11378,"LG02",7657629,0.0229
"1174",11386,"LG15",19591012,0.0259
"1175",11395,"LG06",20300416,0.4876
"1176",11406,"LG07",27267119,0.0195
"1177",11408,"LG10",6902002,0.2231
"1178",11415,"LG12",25161775,-6e-04
"1179",11422,"LG18",13594708,0.0351
"1180",11437,"LG01",4662599,0.0325
"1181",11443,"LG21",5151457,0.0338
"1182",11447,"LG14",8514447,0.0423
"1183",11454,"LG18",7277678,0.2409
"1184",11476,"LG16",23192284,0.0469
"1185",11500,"LG07",22421100,0.0577
"1186",11504,"LG01",24263046,0.4847
"1187",11505,"LG15",4956975,0.1342
"1188",11509,"LG05",3589620,0.9695
"1189",11537,"LG22",19413456,0.0271
"1190",11552,"LG15",14987505,0.0921
"1191",11566,"LG07",28941938,0.1632
"1192",11568,"LG10",14106936,0.0262
"1193",11574,"LG17",10579200,0.0183
"1194",11575,"LG19",11834337,0.0096
"1195",11609,"LG20",677054,0.0923
"1196",11655,"LG08",10023947,0.096
"1197",11663,"LG06",6786952,0.093
"1198",11675,"LG23",9980807,0.0744
"1199",11686,"LG19",20003266,0.1567
"1200",11691,"LG09",8580099,0.3609
"1201",11710,"LG20",1235400,0.0373
"1202",11711,"LG01",14052789,0.2638
"1203",11714,"LG23",1316258,0.0107
"1204",11717,"LG05",22040377,0.1712
"1205",11722,"LG12",22026053,0.0543
"1206",11733,"LG06",16479887,0.015
"1207",11738,"LG05",17317386,0.2011
"1208",11754,"LG13",25056110,0.1257
"1209",11759,"LG08",18102613,0.9439
"1210",11760,"LG07",9519203,0.0645
"1211",11770,"LG12",5439863,0.1548
"1212",11789,"LG15",19532910,0.0513
"1213",11793,"LG15",18961655,0.0139
"1214",11805,"LG12",25684710,0.3182
"1215",11817,"LG07",8208238,0.0394
"1216",11835,"LG15",1312367,-6e-04
"1217",11843,"LG16",8907544,0.0468
"1218",11848,"LG09",11140996,0.005
"1219",11853,"LG06",5224140,0.0108
"1220",11860,"LG07",24334636,0.457
"1221",11878,"LG12",7385906,0.0296
"1222",11880,"LG12",8638270,0.0261
"1223",11889,"LG20",23418653,0.1957
"1224",11895,"LG10",16877062,0.1482
"1225",11899,"LG16",16177834,0.6773
"1226",11902,"LG07",22046260,0.0877
"1227",11905,"LG03",970105,0.2079
"1228",11910,"LG10",22004313,0.1
"1229",11912,"LG11",25064455,0.7232
"1230",11929,"LG09",24360567,0.079
"1231",11951,"LG18",22543425,0.9024
"1232",11952,"LG11",8363291,0.0089
"1233",11963,"LG18",17646673,0.0103
"1234",11964,"LG17",15924327,0.1489
"1235",11987,"LG14",23945143,0.1756
"1236",11997,"LG07",11912940,0.0615
"1237",12001,"LG01",15477998,0.0371
"1238",12030,"LG15",3590544,0.0113
"1239",12055,"LG13",7298389,0.0922
"1240",12064,"LG08",10043041,7e-04
"1241",12065,"LG02",9912651,0.3844
"1242",12068,"LG19",9420848,0.1827
"1243",12082,"LG01",19122718,0.0446
"1244",12083,"LG13",13895706,0.6882
"1245",12099,"LG15",2399558,0.0687
"1246",12101,"LG12",3058067,0.1733
"1247",12106,"LG13",20617173,-0.0016
"1248",12108,"LG13",414978,0.0946
"1249",12116,"LG05",5496922,0.0768
"1250",12123,"LG06",1575634,0.0251
"1251",12155,"LG14",24906321,0.2762
"1252",12158,"LG14",2519559,0.1075
"1253",12161,"LG02",704956,0.5895
"1254",12190,"LG03",15406459,0.4015
"1255",12197,"LG09",20932000,0.0134
"1256",12199,"LG10",16892873,0.0973
"1257",12205,"LG01",144969,0.0729
"1258",12207,"LG08",22454411,0.0187
"1259",12213,"LG20",6716434,0.1365
"1260",12218,"LG16",27383916,0.1146
"1261",12220,"LG06",23763699,0.1038
"1262",12233,"LG15",2168412,0.1113
"1263",12277,"LG20",4368395,0.3888
"1264",12279,"LG20",22345154,0.0414
"1265",12288,"LG06",18486795,0.0533
"1266",12294,"LG19",4553077,0.5406
"1267",12295,"LG15",20811419,0.0604
"1268",12297,"LG13",16758062,0.0165
"1269",12299,"LG07",26908342,0.0334
"1270",12320,"LG20",9208037,0.849
"1271",12322,"LG18",3184470,0.0099
"1272",12329,"LG13",10351604,0.2199
"1273",12332,"LG20",3304957,0.0617
"1274",12337,"LG05",17283576,0.1193
"1275",12352,"LG04",25253747,0.0538
"1276",12394,"LG07",27314143,-0.0016
"1277",12403,"LG12",12909587,0.0756
"1278",12406,"LG07",26600311,0.1639
"1279",12407,"LG12",1776134,0.0037
"1280",12415,"LG16",28107350,0.1182
"1281",12418,"LG02",14859025,0.0058
"1282",12425,"LG15",18613652,0.0115
"1283",12434,"LG02",18018124,0.0868
"1284",12437,"LG15",24445854,0.3791
"1285",12439,"LG06",22196497,0.1332
"1286",12443,"LG08",18246070,0.0212
"1287",12463,"LG20",855117,0.0064
"1288",12467,"LG06",19011233,0.0282
"1289",12477,"LG06",6779590,0.1363
"1290",12480,"LG01",907791,0.0116
"1291",12483,"LG12",17033148,0.1202
"1292",12493,"LG11",21490717,0.0165
"1293",12516,"LG09",20438490,0.4117
"1294",12517,"LG02",21189371,0.0198
"1295",12524,"LG07",11776764,0.0617
"1296",12535,"LG14",19729152,0.9693
"1297",12541,"LG19",15079031,0.064
"1298",12550,"LG18",3774016,0.0117
"1299",12566,"LG09",2484464,0.0669
"1300",12568,"LG23",3548982,0.0325
"1301",12578,"LG07",10968252,0.0834
"1302",12579,"LG03",5782208,0.1054
"1303",12587,"LG06",17333810,0.016
"1304",12623,"LG03",23860880,0.0488
"1305",12641,"LG03",5337885,-0.0019
"1306",12668,"LG12",20070737,0.3395
"1307",12670,"LG05",11651084,0.5766
"1308",12671,"LG13",6621267,0.0257
"1309",12701,"LG06",653437,0.0143
"1310",12705,"LG18",9156806,0.497
"1311",12713,"LG09",10266318,0.0271
"1312",12726,"LG11",1323218,0.1474
"1313",12728,"LG09",21667850,0.0132
"1314",12739,"LG02",12116786,0.0086
"1315",12746,"LG06",5825278,0.6482
"1316",12758,"LG23",18804744,0.0377
"1317",12763,"LG08",14775567,0.0315
"1318",12771,"LG01",7923920,0.0161
"1319",12803,"LG09",6289788,0.0515
"1320",12804,"LG04",837997,0.3339
"1321",12810,"LG11",7562224,0.4221
"1322",12813,"LG12",6182623,0.0578
"1323",12824,"LG16",22857426,0.0894
"1324",12845,"LG21",6609604,0.05
"1325",12877,"LG01",22265414,0.2261
"1326",12881,"LG03",22108213,0.0898
"1327",12892,"LG03",714072,0.1582
"1328",12895,"LG20",1297463,0.1141
"1329",12903,"LG11",21543078,0.0197
"1330",12913,"LG18",7113617,0.1995
"1331",12917,"LG01",9329019,0.1711
"1332",12921,"LG15",8126093,0.0114
"1333",12925,"LG16",17738268,0.0176
"1334",12937,"LG22",19236552,0.0631
"1335",12946,"LG07",26921264,0.377
"1336",12948,"LG14",19332362,0.0996
"1337",12962,"LG07",20991578,0.0211
"1338",12963,"LG06",4294118,0.0078
"1339",12979,"LG17",11969763,0.0025
"1340",12987,"LG10",7768031,0.0578
"1341",12990,"LG09",7893287,0.0564
"1342",13021,"LG19",10863529,0.0273
"1343",13038,"LG02",5142106,0.3566
"1344",13041,"LG01",10868696,0.0668
"1345",13054,"LG09",16092904,0.3425
"1346",13066,"LG05",10679060,0.0661
"1347",13081,"LG05",12942571,0.0045
"1348",13087,"LG23",7156359,0.0192
"1349",13100,"LG05",5100690,0.242
"1350",13107,"LG11",13398459,0.8736
"1351",13142,"LG01",8383158,0.4135
"1352",13180,"LG13",14958633,0.3278
"1353",13188,"LG14",4639051,0.0069
"1354",13193,"LG10",11847796,0.0142
"1355",13196,"LG17",9348149,0.4094
"1356",13207,"LG09",19949567,0.1369
"1357",13218,"LG21",21326887,0.0395
"1358",13221,"LG16",670370,0.9553
"1359",13240,"LG19",13057425,0.0656
"1360",13242,"LG15",13956318,0.0599
"1361",13258,"LG05",23305723,0.269
"1362",13275,"LG01",23209262,0.0707
"1363",13278,"LG04",8519373,0.0251
"1364",13285,"LG12",18663488,0.0754
"1365",13295,"LG10",5590510,0.2416
"1366",13304,"LG18",2998800,0.018
"1367",13308,"LG06",6089527,-0.001
"1368",13316,"LG15",11097840,0.1083
"1369",13330,"LG16",7185813,0.0251
"1370",13338,"LG18",20235757,0.6468
"1371",13341,"LG06",10553940,0.4618
"1372",13342,"LG20",17827932,0.1086
"1373",13345,"LG05",63205,0.0651
"1374",13355,"LG11",13376613,0.0134
"1375",13362,"LG02",23374742,0.0104
"1376",13379,"LG22",21235782,0.016
"1377",13387,"LG09",1276318,0.213
"1378",13406,"LG16",30901281,0.2313
"1379",13412,"LG20",17416654,0.9672
"1380",13418,"LG14",1300871,0.1287
"1381",13430,"LG14",25158945,0.0879
"1382",13432,"LG23",8664423,0.0842
"1383",13443,"LG04",13609177,0.0195
"1384",13458,"LG12",7732046,0.001
"1385",13461,"LG09",20559077,0.0215
"1386",13462,"LG23",14995379,0.0359
"1387",13476,"LG09",16123768,0.0633
"1388",13485,"LG16",9342132,0.0417
"1389",13486,"LG01",3357702,0.0044
