Locus	LG	Position	C.Position
263	LG09	19977194	244160367
561	LG09	10073918	234257091
699	LG09	13604737	237787910
708	LG09	1654444	225837617
917	LG09	23966054	248149227
986	LG09	18413149	242596322
989	LG09	193692	224376865
1018	LG09	14755994	238939167
1040	LG09	7438826	231621999
1047	LG09	6946806	231129979
1311	LG09	12622187	236805360
1417	LG09	2358155	226541328
1504	LG09	6084778	230267951
1582	LG09	16940306	241123479
1794	LG09	24143400	248326573
2034	LG09	7118208	231301381
2041	LG09	13958070	238141243
2360	LG09	14623195	238806368
3651	LG09	1872590	226055763
3948	LG09	5671531	229854704
4370	LG09	18892407	243075580
4459	LG09	19494289	243677462
4617	LG09	16838649	241021822
4667	LG09	21626256	245809429
4702	LG09	9449210	233632383
5685	LG09	4495270	228678443
6099	LG09	6849550	231032723
6371	LG09	12563605	236746778
7007	LG09	23336651	247519824
7013	LG09	20831066	245014239
7104	LG09	11767651	235950824
7109	LG09	5317086	229500259
7128	LG09	1204897	225388070
7357	LG09	3905299	228088472
7880	LG09	21400794	245583967
7902	LG09	7623356	231806529
7916	LG09	13322211	237505384
8124	LG09	23766555	247949728
8353	LG09	10677285	234860458
8819	LG09	10907105	235090278
9066	LG09	11242786	235425959
9077	LG09	5295753	229478926
9576	LG09	10727534	234910707
9611	LG09	16641125	240824298
9668	LG09	15119144	239302317
10172	LG09	3075444	227258617
10198	LG09	13840201	238023374
10336	LG09	17620926	241804099
11088	LG09	13625473	237808646
11691	LG09	8580099	232763272
11848	LG09	11140996	235324169
11929	LG09	24360567	248543740
12197	LG09	20932000	245115173
12516	LG09	20438490	244621663
12566	LG09	2484464	226667637
12713	LG09	10266318	234449491
12728	LG09	21667850	245851023
12803	LG09	6289788	230472961
12990	LG09	7893287	232076460
13054	LG09	16092904	240276077
13207	LG09	19949567	244132740
13387	LG09	1276318	225459491
13461	LG09	20559077	244742250
13476	LG09	16123768	240306941
13490	LG09	12276131	236459304
13721	LG09	20115295	244298468
13940	LG09	11496126	235679299
14042	LG09	8580009	232763182
14260	LG09	16137299	240320472
14342	LG09	141924	224325097
14555	LG09	17882027	242065200
14878	LG09	10710886	234894059
14938	LG09	10899868	235083041
15425	LG09	11687002	235870175
15582	LG09	7267978	231451151
15650	LG09	16091715	240274888
15806	LG09	2600547	226783720
15907	LG09	9465117	233648290
16009	LG09	17406696	241589869
16542	LG09	11346908	235530081
16806	LG09	11496944	235680117
17038	LG09	17129440	241312613
17185	LG09	13511279	237694452
17230	LG09	11767563	235950736
17380	LG09	14943944	239127117
17702	LG09	13518924	237702097
17912	LG09	23034645	247217818
17951	LG09	14669233	238852406
17968	LG09	23570799	247753972
18186	LG09	3902933	228086106
18319	LG09	21889342	246072515
18502	LG09	940472	225123645
18757	LG09	11297595	235480768
19083	LG09	16022854	240206027
19091	LG09	14043433	238226606
19199	LG09	7053631	231236804
19360	LG09	21644883	245828056
19371	LG09	10689203	234872376
19831	LG09	1215049	225398222
20068	LG09	23628908	247812081
20522	LG09	2507199	226690372
20890	LG09	7053543	231236716
21120	LG09	6147938	230331111
21175	LG09	4770493	228953666
22873	LG09	12988290	237171463
23078	LG09	18413061	242596234
23136	LG09	23542273	247725446
24117	LG09	13296746	237479919
25269	LG09	3155786	227338959
6	LG10	5565406	255130893
11	LG10	22879220	272444707
92	LG10	10496043	260061530
472	LG10	23241108	272806595
1073	LG10	2603183	252168670
1262	LG10	17743127	267308614
1592	LG10	2502491	252067978
2229	LG10	18165811	267731298
2558	LG10	22020828	271586315
2705	LG10	22879308	272444795
3121	LG10	12858006	262423493
3434	LG10	6003116	255568603
3753	LG10	9860946	259426433
4171	LG10	17543844	267109331
4206	LG10	9793217	259358704
5002	LG10	1370047	250935534
5217	LG10	16892961	266458448
5376	LG10	4480531	254046018
5594	LG10	23722049	273287536
5928	LG10	1369959	250935446
6627	LG10	11310688	260876175
6629	LG10	11533345	261098832
6701	LG10	7469127	257034614
7214	LG10	7431430	256996917
7384	LG10	1352427	250917914
7453	LG10	13650399	263215886
7505	LG10	17051602	266617089
7742	LG10	22750488	272315975
7791	LG10	7813573	257379060
8033	LG10	10895467	260460954
8597	LG10	16803083	266368570
8798	LG10	24193411	273758898
9452	LG10	19417830	268983317
9549	LG10	17848565	267414052
9755	LG10	13377165	262942652
9986	LG10	9602660	259168147
10165	LG10	9113932	258679419
10712	LG10	13525125	263090612
11408	LG10	6902002	256467489
11568	LG10	14106936	263672423
11895	LG10	16877062	266442549
11910	LG10	22004313	271569800
12199	LG10	16892873	266458360
12987	LG10	7768031	257333518
13193	LG10	11847796	261413283
13295	LG10	5590510	255155997
13720	LG10	20106301	269671788
13791	LG10	12697932	262263419
13881	LG10	5762212	255327699
14526	LG10	16803171	266368658
15002	LG10	18594202	268159689
15045	LG10	6003028	255568515
15119	LG10	16344912	265910399
15234	LG10	15260066	264825553
15313	LG10	14212835	263778322
16245	LG10	19765296	269330783
16280	LG10	9631682	259197169
16612	LG10	1560210	251125697
17181	LG10	10048933	259614420
17351	LG10	2645492	252210979
17680	LG10	1123447	250688934
17760	LG10	18095577	267661064
17879	LG10	2293277	251858764
17999	LG10	11365506	260930993
18111	LG10	2525180	252090667
18284	LG10	21180327	270745814
18366	LG10	18594290	268159777
18494	LG10	18126164	267691651
18754	LG10	19102995	268668482
18952	LG10	2698488	252263975
19023	LG10	17098983	266664470
19203	LG10	24740412	274305899
19498	LG10	6688377	256253864
20295	LG10	24766333	274331820
20718	LG10	9466709	259032196
20920	LG10	19404682	268970169
21089	LG10	4739467	254304954
21140	LG10	17349755	266915242
21176	LG10	20217965	269783452
21500	LG10	10351187	259916674
21870	LG10	2836992	252402479
22011	LG10	4306943	253872430
22112	LG10	22750400	272315887
22771	LG10	3784167	253349654
22957	LG10	21276279	270841766
22961	LG10	9917591	259483078
23490	LG10	6203703	255769190
23794	LG10	18167957	267733444
24307	LG10	18499922	268065409
24591	LG10	15711501	265276988
24659	LG10	9903825	259469312
24997	LG10	4867288	254432775
25250	LG10	4629105	254194592
147	LG11	12011991	286881784
411	LG11	28215278	303085071
495	LG11	27114764	301984557
546	LG11	28092509	302962302
719	LG11	14396040	289265833
756	LG11	3127754	277997547
1157	LG11	26193891	301063684
1167	LG11	10595723	285465516
1478	LG11	20773184	295642977
1547	LG11	7746059	282615852
1620	LG11	17181817	292051610
1756	LG11	8086242	282956035
1963	LG11	17081118	291950911
1978	LG11	18595849	293465642
2225	LG11	14495794	289365587
2604	LG11	14815925	289685718
3266	LG11	18795306	293665099
3428	LG11	3481234	278351027
3756	LG11	22468503	297338296
3886	LG11	14501523	289371316
3931	LG11	5295900	280165693
4069	LG11	12620674	287490467
4336	LG11	6123685	280993478
4696	LG11	24477363	299347156
4837	LG11	18564220	293434013
4901	LG11	26061747	300931540
5003	LG11	16390445	291260238
5281	LG11	7506208	282376001
5541	LG11	10611314	285481107
5572	LG11	25112679	299982472
5614	LG11	23808690	298678483
5645	LG11	27529270	302399063
6458	LG11	20093783	294963576
6484	LG11	1042714	275912507
6679	LG11	5282172	280151965
6729	LG11	19415556	294285349
6757	LG11	5861158	280730951
6759	LG11	23114107	297983900
6797	LG11	11597003	286466796
7028	LG11	20055468	294925261
7060	LG11	20342445	295212238
7161	LG11	16069381	290939174
7268	LG11	16731790	291601583
7457	LG11	22023654	296893447
7469	LG11	23808602	298678395
7524	LG11	5099569	279969362
7749	LG11	25187021	300056814
7755	LG11	25803771	300673564
7942	LG11	11237956	286107749
8536	LG11	11875912	286745705
8641	LG11	17280494	292150287
8811	LG11	17486981	292356774
9158	LG11	6826719	281696512
9191	LG11	18886155	293755948
9203	LG11	12511703	287381496
9205	LG11	11238044	286107837
9251	LG11	26642181	301511974
9458	LG11	16016506	290886299
9585	LG11	11440099	286309892
9811	LG11	11843840	286713633
10828	LG11	16821051	291690844
10978	LG11	3709479	278579272
11912	LG11	25064455	299934248
11952	LG11	8363291	283233084
12493	LG11	21490717	296360510
12726	LG11	1323218	276193011
12810	LG11	7562224	282432017
12903	LG11	21543078	296412871
13107	LG11	13398459	288268252
13355	LG11	13376613	288246406
13598	LG11	15810155	290679948
13681	LG11	23667698	298537491
13880	LG11	27245517	302115310
13895	LG11	9770660	284640453
14360	LG11	20090953	294960746
14920	LG11	13818187	288687980
15010	LG11	8774566	283644359
15034	LG11	11184765	286054558
15052	LG11	26568958	301438751
15060	LG11	4509609	279379402
15756	LG11	27938726	302808519
15855	LG11	13815890	288685683
16257	LG11	15142617	290012410
16270	LG11	3234999	278104792
16429	LG11	11596915	286466708
16983	LG11	16907359	291777152
17087	LG11	11366771	286236564
17100	LG11	9017614	283887407
18078	LG11	445695	275315488
18313	LG11	8774654	283644447
18419	LG11	23548507	298418300
18466	LG11	14716635	289586428
18571	LG11	4312750	279182543
18879	LG11	2695805	277565598
18947	LG11	8837364	283707157
19037	LG11	9019282	283889075
19201	LG11	4663213	279533006
19228	LG11	2128700	276998493
19263	LG11	15974041	290843834
19729	LG11	9699702	284569495
19742	LG11	658080	275527873
19830	LG11	18942693	293812486
19943	LG11	5432424	280302217
19964	LG11	5576643	280446436
20237	LG11	8223601	283093394
20351	LG11	24512227	299382020
20512	LG11	11010035	285879828
20796	LG11	10174407	285044200
20954	LG11	12030039	286899832
21039	LG11	20186470	295056263
21256	LG11	3027003	277896796
21313	LG11	852857	275722650
21501	LG11	6729867	281599660
21765	LG11	27244384	302114177
21789	LG11	11847676	286717469
22947	LG11	3409526	278279319
23093	LG11	27289201	302158994
23168	LG11	13620304	288490097
23448	LG11	26240894	301110687
23486	LG11	16266066	291135859
23927	LG11	11392893	286262686
24168	LG11	20084116	294953909
24196	LG11	3832245	278702038
24226	LG11	13148494	288018287
24941	LG11	20323618	295193411
24948	LG11	7510007	282379800
25225	LG11	8123880	282993673
25475	LG11	5805818	280675611
98	LG12	20292473	324105234
167	LG12	26759763	330572524
187	LG12	25008487	328821248
660	LG12	11266320	315079081
780	LG12	4213605	308026366
821	LG12	7732134	311544895
1354	LG12	3284303	307097064
1672	LG12	4111803	307924564
1679	LG12	8443013	312255774
1705	LG12	1605159	305417920
2335	LG12	6026045	309838806
2835	LG12	5180270	308993031
3191	LG12	12059104	315871865
3366	LG12	26603820	330416581
3437	LG12	23290112	327102873
3480	LG12	23074809	326887570
3677	LG12	13046268	316859029
4411	LG12	22019003	325831764
4496	LG12	24069748	327882509
4510	LG12	20827581	324640342
4588	LG12	24207382	328020143
4659	LG12	6507308	310320069
4711	LG12	8167261	311980022
5133	LG12	19492744	323305505
5287	LG12	20595615	324408376
5303	LG12	19338439	323151200
5476	LG12	468391	304281152
5622	LG12	17015598	320828359
5817	LG12	17403958	321216719
6094	LG12	8466885	312279646
6144	LG12	6428619	310241380
6274	LG12	13367814	317180575
7086	LG12	20716376	324529137
7431	LG12	3326685	307139446
7565	LG12	19921439	323734200
7574	LG12	6911449	310724210
7593	LG12	7881258	311694019
7674	LG12	19252364	323065125
8037	LG12	5532228	309344989
8055	LG12	3340389	307153150
8062	LG12	3185817	306998578
8147	LG12	25485725	329298486
8278	LG12	6752117	310564878
8810	LG12	7061780	310874541
8882	LG12	21274945	325087706
9012	LG12	2510601	306323362
9061	LG12	8785295	312598056
9091	LG12	25336179	329148940
9979	LG12	20945653	324758414
10207	LG12	19645674	323458435
10217	LG12	22048248	325861009
10263	LG12	5229610	309042371
10497	LG12	3555248	307368009
10813	LG12	1339414	305152175
11039	LG12	23498325	327311086
11415	LG12	25161775	328974536
11722	LG12	22026053	325838814
11770	LG12	5439863	309252624
11805	LG12	25684710	329497471
11878	LG12	7385906	311198667
11880	LG12	8638270	312451031
12101	LG12	3058067	306870828
12403	LG12	12909587	316722348
12407	LG12	1776134	305588895
12483	LG12	17033148	320845909
12668	LG12	20070737	323883498
12813	LG12	6182623	309995384
13285	LG12	18663488	322476249
13458	LG12	7732046	311544807
13701	LG12	18405059	322217820
13873	LG12	7476701	311289462
14697	LG12	26198542	330011303
14729	LG12	18146976	321959737
14829	LG12	7992250	311805011
15003	LG12	8128215	311940976
15242	LG12	25621100	329433861
15454	LG12	24069660	327882421
15519	LG12	18810608	322623369
15706	LG12	21289220	325101981
16035	LG12	18326476	322139237
16846	LG12	25008399	328821160
17582	LG12	6410601	310223362
18012	LG12	22709819	326522580
18070	LG12	18432995	322245756
18166	LG12	567544	304380305
18253	LG12	23861769	327674530
18332	LG12	18533379	322346140
18478	LG12	11760945	315573706
19174	LG12	5655789	309468550
19222	LG12	19916291	323729052
19956	LG12	9597045	313409806
20758	LG12	7637825	311450586
21073	LG12	4069175	307881936
21710	LG12	21340188	325152949
22206	LG12	21990158	325802919
22617	LG12	26643090	330455851
22710	LG12	10828140	314640901
22886	LG12	6284415	310097176
23083	LG12	12563125	316375886
23258	LG12	4735969	308548730
23977	LG12	25429189	329241950
24147	LG12	24341605	328154366
24171	LG12	18098743	321911504
24470	LG12	19492656	323305417
24605	LG12	4863168	308675929
24647	LG12	4462842	308275603
24649	LG12	12170251	315983012
24739	LG12	19685379	323498140
24899	LG12	19056276	322869037
25048	LG12	12140034	315952795
25241	LG12	13367902	317180663
231	LG13	17465362	348576097
364	LG13	13518047	344628782
367	LG13	13517959	344628694
404	LG13	423107	331533842
705	LG13	17217650	348328385
1053	LG13	11331788	342442523
1170	LG13	14579752	345690487
1306	LG13	11880001	342990736
1412	LG13	15878708	346989443
1482	LG13	10971676	342082411
1531	LG13	19012414	350123149
1572	LG13	17972384	349083119
1689	LG13	21043471	352154206
1698	LG13	14576126	345686861
1983	LG13	11362580	342473315
2258	LG13	7099455	338210190
2274	LG13	1229015	332339750
2390	LG13	19759312	350870047
2472	LG13	19499466	350610201
2826	LG13	18593933	349704668
2828	LG13	21871455	352982190
3132	LG13	19057220	350167955
3541	LG13	24575544	355686279
3708	LG13	1535521	332646256
3861	LG13	6745490	337856225
3929	LG13	6072318	337183053
4031	LG13	1193395	332304130
4140	LG13	22202718	353313453
4156	LG13	24013669	355124404
4227	LG13	18686608	349797343
4442	LG13	14527982	345638717
4465	LG13	18013035	349123770
4770	LG13	16116538	347227273
5845	LG13	14709344	345820079
5949	LG13	17395120	348505855
6823	LG13	5583349	336694084
6931	LG13	1712116	332822851
7298	LG13	1297768	332408503
7489	LG13	16655985	347766720
7570	LG13	18649897	349760632
7605	LG13	3180911	334291646
7747	LG13	8626858	339737593
7803	LG13	19032494	350143229
7833	LG13	8128067	339238802
7969	LG13	7922976	339033711
8198	LG13	16144580	347255315
8212	LG13	9273834	340384569
8295	LG13	24899963	356010698
8596	LG13	3111762	334222497
8669	LG13	10893231	342003966
9231	LG13	16521924	347632659
9663	LG13	3663429	334774164
9738	LG13	8668477	339779212
9782	LG13	18981816	350092551
9845	LG13	18630044	349740779
10029	LG13	1297680	332408415
10055	LG13	10448774	341559509
10527	LG13	6589303	337700038
10618	LG13	14844340	345955075
10833	LG13	6992964	338103699
10872	LG13	2826437	333937172
10960	LG13	24575456	355686191
11116	LG13	23508205	354618940
11119	LG13	16168416	347279151
11154	LG13	20413713	351524448
11294	LG13	11882479	342993214
11325	LG13	7918800	339029535
11754	LG13	25056110	356166845
12055	LG13	7298389	338409124
12083	LG13	13895706	345006441
12106	LG13	20617173	351727908
12108	LG13	414978	331525713
12297	LG13	16758062	347868797
12329	LG13	10351604	341462339
12671	LG13	6621267	337732002
13180	LG13	14958633	346069368
13702	LG13	13876524	344987259
13760	LG13	7924478	339035213
13762	LG13	8670969	339781704
13897	LG13	23112652	354223387
14349	LG13	23841986	354952721
14365	LG13	3111674	334222409
14547	LG13	788032	331898767
14869	LG13	19009416	350120151
14889	LG13	19821728	350932463
14990	LG13	8544475	339655210
15104	LG13	20808605	351919340
15121	LG13	22645688	353756423
15546	LG13	12413111	343523846
15786	LG13	18869411	349980146
15991	LG13	5583437	336694172
16184	LG13	23965889	355076624
16358	LG13	18417056	349527791
16482	LG13	9438752	340549487
16616	LG13	1620642	332731377
16650	LG13	11699849	342810584
16752	LG13	7127580	338238315
16766	LG13	25053940	356164675
17099	LG13	24084421	355195156
17446	LG13	11956125	343066860
17592	LG13	19931606	351042341
18234	LG13	8411221	339521956
18273	LG13	19032406	350143141
18337	LG13	14242723	345353458
19069	LG13	1656421	332767156
19170	LG13	10600670	341711405
19267	LG13	19936382	351047117
19295	LG13	415183	331525918
19334	LG13	4952169	336062904
19504	LG13	897657	332008392
19509	LG13	24173924	355284659
19608	LG13	5343568	336454303
19626	LG13	6621179	337731914
19683	LG13	13024843	344135578
19781	LG13	2758136	333868871
19932	LG13	22491181	353601916
19945	LG13	17151357	348262092
20183	LG13	4648135	335758870
20198	LG13	17432380	348543115
20257	LG13	23629689	354740424
20513	LG13	13087856	344198591
20749	LG13	4406839	335517574
20770	LG13	20742960	351853695
20782	LG13	2581050	333691785
21298	LG13	13118901	344229636
21653	LG13	14590679	345701414
21680	LG13	21784563	352895298
22113	LG13	1622364	332733099
22677	LG13	7980396	339091131
22828	LG13	16011750	347122485
23009	LG13	20869043	351979778
23062	LG13	17685828	348796563
23244	LG13	22509678	353620413
23374	LG13	17292407	348403142
23445	LG13	8744355	339855090
23728	LG13	16358386	347469121
24039	LG13	12372313	343483048
24277	LG13	14988666	346099401
24464	LG13	5444037	336554772
24473	LG13	19295333	350406068
24484	LG13	16647584	347758319
24543	LG13	13571484	344682219
24597	LG13	9929672	341040407
24867	LG13	15382442	346493177
25063	LG13	18266311	349377046
25273	LG13	18720674	349831409
91	LG14	5057159	361844629
110	LG14	28381771	385169241
331	LG14	21214207	378001677
490	LG14	1523992	358311462
618	LG14	2325174	359112644
815	LG14	7114942	363902412
1002	LG14	22855271	379642741
1078	LG14	1738653	358526123
1339	LG14	17204107	373991577
1372	LG14	20906701	377694171
1463	LG14	16098739	372886209
1936	LG14	24505155	381292625
2204	LG14	7233760	364021230
2587	LG14	202833	356990303
2752	LG14	29071558	385859028
3228	LG14	25824909	382612379
3308	LG14	10599926	367387396
3341	LG14	28893155	385680625
3379	LG14	24722870	381510340
3417	LG14	11676361	368463831
3594	LG14	5903591	362691061
3636	LG14	20385829	377173299
3832	LG14	17957361	374744831
4048	LG14	23970431	380757901
4088	LG14	20885177	377672647
4185	LG14	15778586	372566056
4283	LG14	18588020	375375490
4754	LG14	25213748	382001218
4760	LG14	27989426	384776896
4989	LG14	12252629	369040099
5151	LG14	12928347	369715817
5333	LG14	17190035	373977505
5525	LG14	20158677	376946147
5580	LG14	8286307	365073777
5607	LG14	24689458	381476928
5767	LG14	23711420	380498890
5781	LG14	5998727	362786197
5987	LG14	14128047	370915517
6224	LG14	5878793	362666263
6255	LG14	5019741	361807211
6268	LG14	2448263	359235733
6399	LG14	5683106	362470576
6529	LG14	24614133	381401603
6597	LG14	17715921	374503391
7203	LG14	11703918	368491388
7498	LG14	17772081	374559551
7690	LG14	11180651	367968121
7698	LG14	27129721	383917191
7890	LG14	13284482	370071952
7910	LG14	6573265	363360735
8013	LG14	26001868	382789338
8726	LG14	17015235	373802705
8847	LG14	1030467	357817937
8885	LG14	23077035	379864505
9102	LG14	7840939	364628409
9675	LG14	20158765	376946235
9717	LG14	5541915	362329385
9770	LG14	1996083	358783553
10092	LG14	16098827	372886297
10245	LG14	12893504	369680974
10261	LG14	11519911	368307381
10410	LG14	6016044	362803514
10462	LG14	11822248	368609718
10523	LG14	27045748	383833218
10954	LG14	13316350	370103820
10974	LG14	24427881	381215351
11313	LG14	11519823	368307293
11447	LG14	8514447	365301917
11987	LG14	23945143	380732613
12155	LG14	24906321	381693791
12158	LG14	2519559	359307029
12535	LG14	19729152	376516622
12948	LG14	19332362	376119832
13188	LG14	4639051	361426521
13418	LG14	1300871	358088341
13430	LG14	25158945	381946415
13539	LG14	24844317	381631787
13909	LG14	9933392	366720862
14266	LG14	23110841	379898311
14864	LG14	12377418	369164888
14943	LG14	24439071	381226541
15239	LG14	8514359	365301829
15327	LG14	12142906	368930376
15404	LG14	19447388	376234858
15623	LG14	27104520	383891990
15673	LG14	13989118	370776588
15866	LG14	17565545	374353015
15997	LG14	9216980	366004450
16325	LG14	3425971	360213441
16814	LG14	2926912	359714382
16934	LG14	23734811	380522281
17106	LG14	19739720	376527190
17245	LG14	19228505	376015975
17490	LG14	27420218	384207688
17888	LG14	10243426	367030896
17947	LG14	25735447	382522917
17977	LG14	24906233	381693703
18033	LG14	25609326	382396796
18659	LG14	2164166	358951636
18687	LG14	25020971	381808441
19098	LG14	24096084	380883554
19231	LG14	25976208	382763678
19292	LG14	22568955	379356425
19720	LG14	7840851	364628321
19795	LG14	20229317	377016787
19928	LG14	12103261	368890731
20364	LG14	8805051	365592521
20384	LG14	18183471	374970941
20609	LG14	8091522	364878992
20732	LG14	7233848	364021318
20943	LG14	18278577	375066047
21492	LG14	10086345	366873815
21779	LG14	10097824	366885294
21989	LG14	14128458	370915928
22595	LG14	27451587	384239057
22688	LG14	20409170	377196640
22731	LG14	13607687	370395157
22898	LG14	28147577	384935047
22950	LG14	242580	357030050
23334	LG14	1850852	358638322
23791	LG14	10192562	366980032
24098	LG14	11755005	368542475
24167	LG14	2490084	359277554
24306	LG14	6017748	362805218
24342	LG14	9467759	366255229
24374	LG14	26250745	383038215
24451	LG14	4188617	360976087
24483	LG14	23231740	380019210
24801	LG14	27298761	384086231
24824	LG14	18241278	375028748
25240	LG14	12018326	368805796
25373	LG14	23407876	380195346
88	LG15	17142273	403226675
240	LG15	22676655	408761057
597	LG15	20571696	406656098
985	LG15	20903534	406987936
1031	LG15	10603181	396687583
1160	LG15	17477533	403561935
1560	LG15	15461179	401545581
1589	LG15	8882522	394966924
1844	LG15	17981722	404066124
2481	LG15	11925618	398010020
2539	LG15	25129974	411214376
3392	LG15	8329462	394413864
3484	LG15	23057730	409142132
4004	LG15	7912926	393997328
4321	LG15	21881503	407965905
4578	LG15	18490187	404574589
4729	LG15	10706163	396790565
5027	LG15	15289336	401373738
5264	LG15	14481775	400566177
6319	LG15	19420916	405505318
6417	LG15	20574788	406659190
6658	LG15	22394483	408478885
6878	LG15	20381790	406466192
6926	LG15	8356855	394441257
6969	LG15	12665066	398749468
6996	LG15	25019581	411103983
7083	LG15	19440584	405524986
7138	LG15	12403451	398487853
7193	LG15	22684695	408769097
7223	LG15	22520795	408605197
7370	LG15	4576668	390661070
7526	LG15	16449383	402533785
7730	LG15	12292251	398376653
8427	LG15	19711784	405796186
8601	LG15	10911179	396995581
8727	LG15	1282872	387367274
8759	LG15	24908542	410992944
9187	LG15	12299422	398383824
9228	LG15	14543912	400628314
9539	LG15	25684151	411768553
9808	LG15	15915117	401999519
10539	LG15	4351655	390436057
10742	LG15	16381554	402465956
10839	LG15	20569522	406653924
11346	LG15	17655023	403739425
11386	LG15	19591012	405675414
11505	LG15	4956975	391041377
11552	LG15	14987505	401071907
11789	LG15	19532910	405617312
11793	LG15	18961655	405046057
11835	LG15	1312367	387396769
12030	LG15	3590544	389674946
12099	LG15	2399558	388483960
12233	LG15	2168412	388252814
12295	LG15	20811419	406895821
12425	LG15	18613652	404698054
12437	LG15	24445854	410530256
12921	LG15	8126093	394210495
13242	LG15	13956318	400040720
13316	LG15	11097840	397182242
13607	LG15	24471470	410555872
13860	LG15	16643517	402727919
14502	LG15	7810607	393895009
14515	LG15	13155930	399240332
15274	LG15	5888323	391972725
15326	LG15	21253119	407337521
15401	LG15	4294985	390379387
15850	LG15	8529809	394614211
16044	LG15	16643429	402727831
16063	LG15	10787770	396872172
16457	LG15	3946906	390031308
16520	LG15	14334485	400418887
16521	LG15	10385682	396470084
16599	LG15	16275261	402359663
16966	LG15	25007035	411091437
16971	LG15	8397658	394482060
17396	LG15	24808975	410893377
17708	LG15	13907715	399992117
18075	LG15	6218214	392302616
18089	LG15	18910824	404995226
18191	LG15	23717326	409801728
18621	LG15	16439929	402524331
18662	LG15	12265718	398350120
18740	LG15	10787858	396872260
18934	LG15	8332754	394417156
19965	LG15	14387770	400472172
19971	LG15	18510285	404594687
20061	LG15	19363735	405448137
20400	LG15	7408576	393492978
20876	LG15	24371340	410455742
20908	LG15	8329374	394413776
20964	LG15	19751967	405836369
21071	LG15	25544457	411628859
21224	LG15	19989014	406073416
21692	LG15	14387858	400472260
22087	LG15	12236939	398321341
22596	LG15	17133549	403217951
22789	LG15	23061083	409145485
22954	LG15	16462762	402547164
23412	LG15	8051383	394135785
23451	LG15	12323986	398408388
23685	LG15	10818312	396902714
23827	LG15	12270324	398354726
23886	LG15	19219373	405303775
23892	LG15	13746396	399830798
23903	LG15	9410969	395495371
24036	LG15	15428650	401513052
24485	LG15	25286539	411370941
24827	LG15	23141315	409225717
25121	LG15	4349410	390433812
25138	LG15	17684197	403768599
25199	LG15	25487648	411572050
142	LG16	348177	413030538
391	LG16	21523873	434206234
735	LG16	14151077	426833438
952	LG16	15094047	427776408
1151	LG16	15614298	428296659
1186	LG16	22797954	435480315
1328	LG16	17157056	429839417
1813	LG16	11478690	424161051
1895	LG16	22941482	435623843
2029	LG16	1408228	414090589
2118	LG16	25894782	438577143
2141	LG16	27837119	440519480
2149	LG16	13928206	426610567
2329	LG16	24549889	437232250
2576	LG16	15488385	428170746
2844	LG16	5617631	418299992
3066	LG16	5085357	417767718
3086	LG16	5738820	418421181
3348	LG16	19834425	432516786
3412	LG16	19800798	432483159
3488	LG16	28100360	440782721
3827	LG16	18742865	431425226
3915	LG16	9451438	422133799
4032	LG16	28482320	441164681
4352	LG16	27854956	440537317
4630	LG16	15092887	427775248
4782	LG16	29902249	442584610
4841	LG16	6040999	418723360
5176	LG16	27148342	439830703
5637	LG16	27428629	440110990
6315	LG16	4018052	416700413
6403	LG16	8943107	421625468
6454	LG16	1542135	414224496
6602	LG16	27639940	440322301
6715	LG16	7665425	420347786
6835	LG16	27854868	440537229
6925	LG16	10109560	422791921
7004	LG16	9080156	421762517
7014	LG16	6829220	419511581
7134	LG16	9928551	422610912
7146	LG16	14444768	427127129
7227	LG16	2099638	414781999
7490	LG16	25266093	437948454
8206	LG16	26782565	439464926
8209	LG16	8038342	420720703
8260	LG16	27304295	439986656
8671	LG16	14413278	427095639
9144	LG16	19012335	431694696
9634	LG16	13079095	425761456
9682	LG16	21936621	434618982
9740	LG16	13248239	425930600
10232	LG16	26051334	438733695
10414	LG16	17455883	430138244
10425	LG16	24274630	436956991
10480	LG16	30812733	443495094
11053	LG16	6506277	419188638
11234	LG16	11625756	424308117
11476	LG16	23192284	435874645
11843	LG16	8907544	421589905
11899	LG16	16177834	428860195
12218	LG16	27383916	440066277
12415	LG16	28107350	440789711
12824	LG16	22857426	435539787
12925	LG16	17738268	430420629
13221	LG16	670370	413352731
13330	LG16	7185813	419868174
13406	LG16	30901281	443583642
13485	LG16	9342132	422024493
13533	LG16	10109648	422792009
13818	LG16	9080244	421762605
13975	LG16	28690614	441372975
13988	LG16	17439483	430121844
14327	LG16	8985041	421667402
14380	LG16	6493538	419175899
14405	LG16	11024455	423706816
14422	LG16	13025508	425707869
14863	LG16	9046431	421728792
14924	LG16	19012423	431694784
15235	LG16	23745057	436427418
15528	LG16	13025420	425707781
15669	LG16	28468562	441150923
15727	LG16	26886242	439568603
15918	LG16	9680656	422363017
16348	LG16	6196102	418878463
16352	LG16	26257743	438940104
16486	LG16	26142570	438824931
16874	LG16	19137696	431820057
17255	LG16	14444680	427127041
17489	LG16	11744546	424426907
17568	LG16	27117684	439800045
18113	LG16	20723621	433405982
18678	LG16	26034933	438717294
18868	LG16	22702413	435384774
18968	LG16	25267546	437949907
18993	LG16	23002702	435685063
19215	LG16	705080	413387441
19303	LG16	12228873	424911234
19458	LG16	30927774	443610135
19559	LG16	4031997	416714358
19697	LG16	24303952	436986313
19853	LG16	4413742	417096103
19994	LG16	27979524	440661885
20078	LG16	14766717	427449078
20318	LG16	24628893	437311254
20518	LG16	19918894	432601255
